ID_Recinto Hora dia Mes Presión_saturacion x_set_min x_set_max x_int_aire G_HU G_DHU 
227.000000 8.000000 3.000000 1.000000 3708.468181 0.005744 0.013966 0.000000 0.000000 -0.000000
227.000000 9.000000 3.000000 1.000000 3952.373934 0.006125 0.014906 0.000000 0.000000 -0.000000
227.000000 10.000000 3.000000 1.000000 4121.548141 0.006390 0.015560 0.000000 0.000000 -0.000000
227.000000 11.000000 3.000000 1.000000 4275.709515 0.006632 0.016157 0.000000 0.000000 -0.000000
227.000000 12.000000 3.000000 1.000000 4417.435401 0.006854 0.016707 0.000000 0.000000 -0.000000
227.000000 13.000000 3.000000 1.000000 4561.597019 0.007080 0.017268 0.000000 0.000000 -0.000000
227.000000 14.000000 3.000000 1.000000 4653.147189 0.007224 0.017624 0.000000 0.000000 -0.000000
227.000000 15.000000 3.000000 1.000000 4733.021390 0.007349 0.017935 0.000000 0.000000 -0.000000
227.000000 16.000000 3.000000 1.000000 4804.264166 0.007461 0.018213 0.000000 0.000000 -0.000000
227.000000 17.000000 3.000000 1.000000 4871.314413 0.007567 0.018475 0.000000 0.000000 -0.000000
227.000000 18.000000 3.000000 1.000000 4916.667899 0.007638 0.018652 0.000000 0.000000 -0.000000
227.000000 19.000000 3.000000 1.000000 4192.206403 0.006501 0.015834 0.000000 0.000000 0.000000
227.000000 20.000000 3.000000 1.000000 3992.897956 0.006189 0.015063 0.000000 0.000000 0.000000
227.000000 21.000000 3.000000 1.000000 3889.495693 0.006027 0.014664 0.000000 0.000000 0.000000
227.000000 22.000000 3.000000 1.000000 3787.962662 0.005868 0.014272 0.000000 0.000000 0.000000
227.000000 23.000000 3.000000 1.000000 3722.271400 0.005765 0.014019 0.000000 0.000000 0.000000
227.000000 24.000000 3.000000 1.000000 3655.077656 0.005660 0.013760 0.000000 0.000000 0.000000
227.000000 1.000000 4.000000 1.000000 3587.393205 0.005555 0.013500 0.000000 0.000000 0.000000
227.000000 2.000000 4.000000 1.000000 3513.674879 0.005439 0.013217 0.000000 0.000000 0.000000
227.000000 3.000000 4.000000 1.000000 3445.479810 0.005333 0.012955 0.000000 0.000000 0.000000
227.000000 4.000000 4.000000 1.000000 3369.036797 0.005214 0.012661 0.000000 0.000000 0.000000
227.000000 5.000000 4.000000 1.000000 3309.565542 0.005121 0.012433 0.000000 0.000000 0.000000
227.000000 6.000000 4.000000 1.000000 3246.384763 0.005022 0.012191 0.000000 0.000000 0.000000
227.000000 7.000000 4.000000 1.000000 3226.254340 0.004991 0.012114 0.000000 0.000000 0.000000
227.000000 8.000000 4.000000 1.000000 3797.132749 0.005882 0.014307 0.000000 0.000000 -0.000000
227.000000 9.000000 4.000000 1.000000 4050.467083 0.006279 0.015285 0.000000 0.000000 -0.000000
227.000000 10.000000 4.000000 1.000000 4213.090680 0.006534 0.015915 0.000000 0.000000 -0.000000
227.000000 11.000000 4.000000 1.000000 4355.418697 0.006757 0.016467 0.000000 0.000000 -0.000000
227.000000 12.000000 4.000000 1.000000 4519.163977 0.007014 0.017103 0.000000 0.000000 -0.000000
227.000000 13.000000 4.000000 1.000000 4650.946696 0.007221 0.017616 0.000000 0.000000 -0.000000
227.000000 14.000000 4.000000 1.000000 4779.728608 0.007423 0.018117 0.000000 0.000000 -0.000000
227.000000 15.000000 4.000000 1.000000 4913.217830 0.007633 0.018639 0.000000 0.000000 -0.000000
227.000000 16.000000 4.000000 1.000000 5066.357079 0.007874 0.019238 0.000000 0.000000 -0.000000
227.000000 17.000000 4.000000 1.000000 5134.830615 0.007981 0.019506 0.000000 0.000000 -0.000000
227.000000 18.000000 4.000000 1.000000 5168.230751 0.008034 0.019637 0.000000 0.000000 -0.000000
227.000000 19.000000 4.000000 1.000000 4394.524616 0.006818 0.016618 0.000000 0.000000 -0.000000
227.000000 20.000000 4.000000 1.000000 4191.243938 0.006499 0.015830 0.000000 0.000000 0.000000
227.000000 21.000000 4.000000 1.000000 4088.885811 0.006339 0.015434 0.000000 0.000000 0.000000
227.000000 22.000000 4.000000 1.000000 4023.383556 0.006236 0.015181 0.000000 0.000000 0.000000
227.000000 23.000000 4.000000 1.000000 3974.753595 0.006160 0.014993 0.000000 0.000000 0.000000
227.000000 24.000000 4.000000 1.000000 3907.681872 0.006055 0.014734 0.000000 0.000000 0.000000
227.000000 1.000000 5.000000 1.000000 3825.470566 0.005927 0.014417 0.000000 0.000000 0.000000
227.000000 2.000000 5.000000 1.000000 3731.524221 0.005780 0.014054 0.000000 0.000000 0.000000
